Substance ,Sector,CountryID,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019,yr2020,yr2021
CO2,Other sectors,IRQ,32.4200154,32.66043016,37.22468108,41.90930048,42.39909124,42.82735446,43.56747858,42.54408969,43.53670645
CO2,Other sectors,ITA,26.75908838,26.60553762,26.13611068,25.91818931,26.25633143,25.49226706,25.12025695,23.41004075,23.43872811
CO2,Other sectors,JPN,92.32871957,91.85184494,89.43077022,88.26417935,88.71220872,88.53624309,85.8693247,78.05461662,79.27676034
CO2,Other sectors,MAR,6.975230238,6.195164735,6.281588547,6.325320606,6.621669183,7.017497452,6.514326294,6.624663329,6.848031883
CO2,Other sectors,PAK ,23.41520704,23.55632707,23.48523414,26.53175601,26.38450724,26.8873973,26.50543923,26.90327187,27.31032547
CO2,Other sectors,PHL,11.30631612,12.0610285,12.80680432,11.58163104,13.76613577,14.81531508,15.42127655,15.2178488,15.58306249
CO2,Other sectors,SAU ,76.04117679,78.98714578,80.02928029,82.29900003,81.95972167,81.99342221,82.29083965,89.23904617,91.3362579
CO2,Other sectors,TUR,47.38745884,46.92161896,47.32970193,50.67654635,54.99598,55.76821833,48.60660786,57.72825487,61.15310079
CO2,Other sectors,ARE,18.96949786,21.41308025,21.59525868,20.79635339,21.55818737,21.66467531,21.30214321,20.37258902,20.86937957
CO2,Other sectors,GBR,25.19824841,25.56846993,25.36709013,25.07590832,25.29619606,25.33036038,25.41777249,23.87736065,23.87044808
CO2,Other sectors,USA,232.6579261,243.5161189,251.1046356,238.5320227,244.32976,256.4963908,266.6503615,248.0836548,249.2517523
CO2,OtherIndustrialCombustion,ARE,78.49894386,73.74289347,84.45154932,86.03205672,73.69796289,57.10618082,71.77820799,69.52758891,69.52393804
CO2,OtherIndustrialCombustion,AUS,72.20998375,71.50179104,66.88658354,68.62616703,72.24387518,75.8167172,79.59516355,74.65796441,71.7668473
CO2,OtherIndustrialCombustion,CAN,176.9783905,179.1565283,182.4695644,184.9983933,188.3359589,193.4692965,197.883812,183.8218761,189.6770912
CO2,OtherIndustrialCombustion,CHN,3469.116376,3380.000035,3323.560398,3147.181285,3027.946847,3080.303607,3124.467955,3173.355613,3349.640568
CO2,OtherIndustrialCombustion,EGY,44.54398422,40.62001887,39.39019462,41.695915,49.44273689,55.36323623,54.17343514,45.01381404,50.34428188
CO2,OtherIndustrialCombustion,FRA,64.14817372,59.45177066,58.54478439,58.98561746,58.49582292,62.5112672,58.69693839,50.11949663,55.14225598
CO2,OtherIndustrialCombustion,DEU,117.2381145,114.1761906,118.7780242,117.3548738,118.9916841,121.669799,116.4180783,105.9846887,112.9988565
CO2,OtherIndustrialCombustion,HKG,1.834381519,1.821642379,2.109198195,2.260940383,2.555232445,2.443875417,2.651748836,1.947974058,1.753850443
CO2,OtherIndustrialCombustion,IND,512.8703894,546.4649245,550.8153428,576.3075902,623.1781089,617.7059187,637.1286236,594.9172795,665.9520373
CO2,OtherIndustrialCombustion,IRN,121.8428544,128.2913461,126.1556223,129.0145671,139.1393814,143.4214751,144.5713521,152.5405718,156.5292496
CO2,OtherIndustrialCombustion,IRQ,17.06049289,21.05183508,19.14107193,20.67954767,22.00955152,24.23578621,25.50587299,22.50864265,25.2152593
CO2,OtherIndustrialCombustion,ITA,49.48668981,45.44650513,46.80586168,44.58862116,44.04408954,44.50184389,43.33610519,38.93920602,42.15557079
CO2,OtherIndustrialCombustion,JPN,260.0667007,252.4747661,244.1583029,234.1795493,232.7134929,232.5691226,226.6442996,209.5506452,216.3818084
CO2,OtherIndustrialCombustion,MAR,9.95828993,8.948544764,8.013633121,6.898946438,7.909432169,7.851625417,7.630600713,6.705364607,7.411602281
CO2,OtherIndustrialCombustion,PAK ,34.28784219,38.77331637,42.36598984,47.61351242,53.95302543,55.35628362,55.84180902,59.39934716,63.3573726
CO2,OtherIndustrialCombustion,PHL,14.30579323,15.22671773,15.35640023,17.7105683,18.79420101,16.46984819,15.86289393,14.77810705,15.96172742
CO2,OtherIndustrialCombustion,SAU ,120.9319538,144.256185,145.7508221,134.0393283,122.0580097,119.025712,116.5644533,115.4170298,118.0435914
CO2,OtherIndustrialCombustion,TUR,58.20811266,59.24411573,64.90860377,67.56391465,87.33222206,87.51306706,82.64135003,82.77065385,91.74579144
CO2,OtherIndustrialCombustion,GBR,68.5482336,66.85927938,66.6202483,59.96509352,59.75125886,58.47134136,58.12303444,51.53186215,54.24394767
CO2,OtherIndustrialCombustion,USA,685.0088314,687.918827,683.2399931,690.8740644,671.1241106,705.1775783,698.089944,654.7747293,672.6163988
CO2,Power,ARE,0.87449659,0.88046585,0.97000475,1.01775883,1.007098085,0.803545688,0.568977748,0.490666978,0.550212703
CO2,Power,AUS,19.95006556,20.39521904,21.02571285,21.81001967,22.36981671,22.52842048,21.19660699,19.67644316,18.92678748
